,spyder,spyder,spyder,spyder,spyder,spyder,smote_ipf,smote_ipf,smote_ipf,smote_ipf,smote_ipf,smote_ipf,smote_enc,smote_enc,smote_enc,smote_enc,smote_enc,smote_enc,ipf,ipf,ipf,ipf,ipf,ipf,ihf,ihf,ihf,ihf,ihf,ihf,clni,clni,clni,clni,clni,clni,ihthres,ihthres,ihthres,ihthres,ihthres,ihthres,enn,enn,enn,enn,enn,enn,ncl,ncl,ncl,ncl,ncl,ncl,none,none,none,none,none,none
clf,dt,lr,nb,svm,knn,rf,dt,lr,nb,svm,knn,rf,dt,lr,nb,svm,knn,rf,dt,lr,nb,svm,knn,rf,dt,lr,nb,svm,knn,rf,dt,lr,nb,svm,knn,rf,dt,lr,nb,svm,knn,rf,dt,lr,nb,svm,knn,rf,dt,lr,nb,svm,knn,rf,dt,lr,nb,svm,knn,rf
camel-2.9.0.csv,0.1276308071139551,0.17529774157105887,0.3545162575421444,0.2357288650832714,0.1451278428271986,0.18309491858647625,0.3520425969806672,0.2240708535909532,0.3748278404520417,0.16102744470478692,0.3409720894358629,0.22307743147467254,0.1824287835300243,0.20736257942153685,0.3711141640169812,0.16936388466178573,0.30471155875558104,0.19698460838980547,0.3520425969806672,0.21803752317942035,0.2919987502047849,0.16102744470478692,0.3694688324508023,0.23787071735780085,0.3380337381898487,0.23998915362116666,0.3322416002557979,0.14211822587617784,0.3064325885542876,0.24649627775088506,0.2798498971956102,0.26082146919783994,0.3289090431322668,0.16792287323456992,0.27473011876961706,0.2413447814430618,0.3634586739671078,0.1998651057630889,0.39651539430607946,0.2071286582882696,0.3319334526351013,0.26638037300617823,0.13942274949254502,0.23927031561264955,0.34461156364347884,0.1810553371573993,0.23085695120720964,0.2157454417487966,0.17487409327397066,0.2553435256272718,0.3635662062315168,0.2215664376151632,0.241300971194912,0.2321942167255157,0.13122675549747675,0.24708329989193814,0.3575319694783692,0.1832799644716613,0.2361658510317012,0.19734594305451855
wicket-1.5.3.csv,0.1481343188079686,0.1616773576166306,0.3178610901250613,0.1871410833844282,0.10492140854738237,0.15619386277498662,0.3298302499962261,0.17325359745576646,0.3931707734613152,0.13406025502698546,0.32031741058296576,0.20461708595993786,0.17670924550306638,0.13612149324765385,0.3479323071397025,0.11967280984267747,0.2751773530979447,0.12507840809714754,0.2752214229086246,0.19062822838668134,0.3585446928075061,0.08402910475276175,0.40553241239874505,0.3453390836848829,0.3039724197446197,0.21293369654251584,0.2934316013045109,0.13063168392110336,0.2259316432175369,0.1927272955456812,0.2289813403574567,0.17716653483842268,0.2908376408168168,0.13094991353089205,0.15321648443812158,0.15613840378566265,0.3968717003151586,0.16367514941791658,0.4582657962625104,0.16584972310234478,0.26626950621942835,0.18111587460141496,0.12667007339945174,0.19480008760686449,0.3174759841245312,0.14633940469025894,0.1410612041522356,0.15660780779231215,0.18729712574835009,0.1959587833072131,0.3266785046179068,0.1855029155934674,0.14977254417270772,0.17539843746163492,0.14733236900555238,0.19726077414870036,0.3263281009256785,0.1458470433052862,0.14166732745682234,0.1605206493204181
lucene-3.1.csv,0.2572825486622892,0.2442236046581773,0.2328794400335097,0.16714264849881172,0.17343028386427942,0.1551737256171662,0.3284124210742753,0.2025773959440897,0.2876832738487653,0.13808077347377526,0.3055126002309394,0.20034360343952876,0.3166396823557775,0.2356517606328991,0.27995331202104073,0.12020667605127805,0.32951614070412183,0.16088059155365805,0.27665288097200075,0.2030256362327563,0.2772437508452072,0.166905241898831,0.2264959781291576,0.19457756369576895,0.2852324441734689,0.2193138554039997,0.270358822396125,0.17434670446352324,0.2473826845790077,0.18532381462975148,0.29637971638527844,0.20393033223314844,0.2730739060222648,0.16102375814982647,0.2286079293971121,0.1581453521479662,0.4363588620551465,0.2162291947483412,0.3764633585530069,0.12289374724793582,0.36332094251419983,0.2937982486016557,0.25969306247858226,0.2318624975419073,0.2417670059281793,0.18782827239324126,0.15028219138565765,0.1618608145333664,0.2978032438546496,0.2321677707730381,0.2760561794597896,0.16847581403015952,0.1982845623814876,0.14450195829138146,0.2623780190577669,0.23286648831656154,0.23763283915332864,0.171711851256595,0.1966003360280166,0.15858504290158226
groovy-1_6_BETA_2.csv,0.39942944919708784,0.30181887645750377,0.3603247357648966,0.3046844110676101,0.4296413400328144,0.4497588242411274,0.4522431747622228,0.3179981464072194,0.3968692780794742,0.281228705869289,0.4912330218232309,0.420967293613016,0.4300908542699383,0.3061886298967489,0.3871516814583731,0.2940026356351645,0.5142041052547149,0.4518014621247777,0.3479512640872272,0.3232357383174965,0.3800829247283373,0.26170009956083595,0.3862484126146304,0.32260259011092873,0.4306107003664332,0.3801131685819481,0.3747965665660841,0.30373174931090463,0.4259603002851877,0.4015734831945238,0.4388781074665132,0.387640561262078,0.39007891060655797,0.33422632591365875,0.4527366647816912,0.4427306667825991,0.4878461029984219,0.2824689076646452,0.44143141747936737,0.22031679178814567,0.4558241195539618,0.3996275986512664,0.4064212222334156,0.39521236008551897,0.3702073077927885,0.37868727045265854,0.4440971604334126,0.4638020331154437,0.4068744697271988,0.37788170218822414,0.3724879933925563,0.33257608638438496,0.4510695651648995,0.429630154970488,0.3532793256482338,0.3515581992206582,0.3615700049170203,0.32260702684342585,0.427340991573344,0.4355138547496025
activemq-5.2.0.csv,0.3556508598445315,0.4195326628635613,0.536475654213624,0.5350959068623762,0.2909136736590698,0.4134056258617653,0.4965676016383952,0.4908050716589108,0.5516194258445273,0.4710485367570714,0.4604807828831586,0.4307057471397064,0.4462974529600821,0.4512340981992185,0.5613834533849931,0.4933205125076841,0.4447075328697303,0.4821234760418205,0.44175020717642505,0.41058199840303583,0.481650785034628,0.4043809285890272,0.4604807828831586,0.4307057471397064,0.41230231896945374,0.4503960497943,0.5477690508840629,0.4705166134308276,0.4281808162524756,0.4298950315070048,0.4534772075518769,0.4729263720115706,0.5493679011742256,0.4842574620593271,0.4502273008351876,0.4543420693258766,0.5323586205793841,0.5168357028853796,0.5660321071214824,0.4898004634497565,0.4978814905870421,0.45486516836566404,0.3539414555418892,0.4887863682298588,0.5313199415082885,0.42916153847887,0.3898568291573498,0.44078791923609695,0.42727449302245823,0.5206542140851698,0.5696743022980822,0.5339437954385299,0.4269551377196211,0.4602290478839113,0.3676704099093506,0.4701316329484335,0.5290570253076295,0.4581956593181653,0.3829718321152851,0.4286921921658136
groovy-1_5_7.csv,0.3596132537487403,0.30280922121079323,0.4586025845822159,0.4068206705260437,0.3428521936391708,0.4072398647054121,0.4079255749452753,0.3798731597139636,0.4579981455568356,0.2631096285854321,0.42820503130309545,0.3778571685477655,0.3854344692440004,0.3506921707217724,0.4704482176389122,0.1903472343796907,0.4155352248413576,0.41339059418510415,0.3727125776283703,0.4502231875068097,0.4546430370484889,0.4232971717754205,0.4516038086151404,0.37817564759645533,0.4210803100891982,0.4921858985822857,0.464812283642303,0.4230060991057663,0.4678051753046776,0.4140892993366909,0.3987811848505471,0.4448108689342809,0.4479543519093815,0.4506364994567778,0.4661732981458123,0.41841031755072794,0.4647713812968827,0.37826581990340336,0.4584349491359061,0.1039019284091228,0.4283890298508187,0.4118214145949685,0.3828462835877843,0.5206506361757637,0.4547177893322522,0.5371071862695231,0.5157317521370514,0.4609425883752016,0.38968667816833147,0.4592470686771736,0.4422748521027769,0.4326137363010685,0.4649700459023633,0.4096750280108367,0.3491680830959589,0.42987281565585306,0.4417544240433313,0.4553780233902907,0.3659910431246405,0.3976659678874692
hbase-0.95.0.csv,0.35218973279120297,0.3964634490550841,0.4738773107377363,0.4144006282713613,0.3186959746884892,0.39869723673078816,0.4891350649918824,0.4716958197149531,0.4770759533953723,0.4326088490303344,0.4475954015888361,0.4365528270344813,0.3959727704114704,0.4067971305201326,0.4658203520543052,0.3771365445268829,0.3940537838913635,0.3827164331962111,0.6119590089437202,0.4651020482809483,0.4887244442135947,0.3289538891073056,0.5341221053972114,0.4518584895161888,0.5633928997318207,0.5041712175883614,0.4373694308516521,0.3669718032837981,0.5463956037672305,0.4641577682588954,0.4959661532489564,0.4517480277580585,0.4381266862407988,0.3830225552145429,0.4936917557196146,0.4292712720587993,0.4864030707452434,0.4563547060163524,0.5087640684592991,0.4679333624356986,0.4733100928200008,0.454541047780321,0.3592320078867952,0.4297815419119904,0.4418973956302464,0.3429592303661193,0.3771681731982644,0.4119026968316282,0.3761065339447292,0.4537060397777114,0.4510920716920346,0.3950752743665242,0.3866492226028383,0.4404572048803325,0.3592753122061822,0.4277485129886501,0.4432002637477496,0.37197994877405377,0.3659739323170035,0.4100613103385128
camel-2.11.0.csv,0.2135297723265845,0.14501641872006302,0.24331746739257645,0.1776446847413079,0.14930778757855115,0.2635315445050756,0.3624500596141415,0.15563786222122328,0.3126884608061194,0.1253783718832271,0.2935795201368547,0.20907821784985176,0.1912342412567103,0.13634939302705468,0.2960480873450674,0.11104337319626248,0.29305999055202553,0.2635068535803921,0.3624500596141415,0.15180109026051636,0.3126884608061194,0.07988073340206689,0.3289982538113954,0.13740568147990606,0.23469791210862145,0.1342705980567548,0.2554590868383883,0.13031424983187642,0.2103776377981626,0.1895159621588722,0.2650924462114531,0.17171341264824014,0.2747339604953422,0.1414465199567003,0.20943181499193955,0.2298892922103124,0.3629174789046704,0.1596891968352919,0.3344892119178762,0.1584858317153553,0.26075698926407403,0.1949251957908588,0.18922606848278853,0.1708139664381086,0.2445157508350805,0.14328826093491367,0.17475486622189712,0.2526256417992321,0.2242680571133865,0.18648179285050634,0.2688258611035141,0.18987255986792032,0.1987709912186233,0.26095617230839996,0.1850516395914977,0.17244453519153835,0.2609029889112327,0.13821770234604025,0.19124942218258886,0.2544105629074156
jruby-1.7.0.preview1.csv,0.3325813027654851,0.2965146915328267,0.41367050177322384,0.311214151962086,0.2689091607869237,0.31480760508362005,0.4206374900404342,0.3409741746670688,0.4536188571419851,0.24601592300396166,0.4246103408718745,0.3166130081958704,0.41463214929126985,0.3320312416244861,0.46534248374328496,0.2207907478016887,0.4131579277834619,0.2853241217668641,0.4171712921196427,0.34394488377439103,0.4142732145299778,0.28117653899381945,0.373510852047199,0.3350162056883588,0.3722321578863845,0.3387228935651003,0.4418991908081687,0.2954070352553204,0.38231043241278906,0.32859362604763626,0.38980513210432105,0.3170684023440051,0.4398092877695189,0.2702593216647259,0.3564778294705343,0.33377748360513576,0.5040598487867876,0.3055819585597896,0.5175574310499367,0.2275558285687502,0.4585339190257723,0.4262821497757904,0.3214268050262007,0.34120716865161715,0.4144078143608016,0.3179466689877141,0.2662244778176007,0.3249837294669555,0.4007985865447571,0.3512046382547282,0.4529745099685476,0.3085951434422206,0.3491799137506837,0.3365903483989853,0.3111000064013245,0.28916049193803994,0.4045495760166828,0.31341071584221075,0.2933833031949337,0.2990009604133459
hive-0.10.0.csv,0.3050902138590377,0.3759596487015419,0.4682757891566209,0.3296465364716554,0.2972179154525151,0.3573131447848176,0.4604706686318433,0.4047723193083032,0.5096807779213386,0.3860779864081475,0.4216491140489491,0.3815961922852125,0.3710011468063534,0.39803979155307057,0.5056233117125806,0.36233738585673103,0.3858052663051119,0.40146327913125895,0.3824786324786325,0.3833685694420297,0.5096807779213386,0.2032897290871277,0.4593531468531468,0.3815961922852125,0.3494161991167303,0.3847254351735287,0.4563930302369508,0.2567209561850005,0.3499461261493797,0.34686977420941273,0.4518636922034235,0.3900323118356126,0.4558609424668541,0.2452560897594477,0.4053762085495735,0.3686757906975191,0.4415284535396829,0.4388293065377404,0.5327369097680786,0.39354465986528203,0.3963178703894084,0.3980548730834912,0.3584138802333348,0.3718536814327965,0.4608676885052279,0.25042654492055205,0.3260677475866461,0.36564382110853694,0.3731816537625682,0.3892358959272944,0.4880839508091198,0.3095699088532229,0.35377710416964725,0.38027251339507984,0.31096048203766424,0.3585723019321807,0.466877843048753,0.30191614315525994,0.3197824986645044,0.3627878467295013
